run,trade_index,pair,closed_utc,outcome,pnl_usd,net_pct,hold_hours
tier 3,1,STORJ/USD,2024-10-20T05:22:00+00:00,stop,-71.03,-2.1322,0.80
tier 3,2,STORJ/USD,2024-10-20T06:42:00+00:00,target,45.98,1.4001,0.88
tier 3,3,DOGE/USD,2024-10-20T17:10:00+00:00,target,83.55,2.5204,3.83
tier 3,4,NEAR/USD,2024-10-26T02:47:00+00:00,target,80.98,2.4027,3.02
tier 3,5,DOGE/USD,2024-11-14T22:35:00+00:00,stop,-75.00,-2.1902,0.07
tier 3,6,DOGE/USD,2024-11-14T23:00:00+00:00,stop,-76.16,-2.2569,0.23
tier 3,7,CRV/USD,2024-11-15T06:19:00+00:00,target,86.61,2.6058,1.03
tier 3,8,OXT/USD,2024-11-25T22:39:00+00:00,stop,-80.03,-2.3684,0.10
tier 3,9,APT/USD,2024-12-02T03:57:00+00:00,stop,-74.84,-2.2487,0.17
tier 3,10,LUNA/USD,2024-12-09T21:04:00+00:00,stop,-200.71,-6.1226,0.02
tier 3,11,XTZ/USD,2024-12-19T01:59:00+00:00,stop,-75.26,-2.3935,4.97
tier 3,12,SC/USD,2024-12-19T20:11:00+00:00,stop,-66.05,-2.1362,0.12
tier 5,1,STORJ/USD,2024-10-19T08:36:00+00:00,stop,-82.23,-2.4700,0.08
tier 5,2,STORJ/USD,2024-10-19T10:08:00+00:00,stop,-68.37,-2.0881,1.08
tier 5,3,STORJ/USD,2024-10-19T10:24:00+00:00,stop,-72.00,-2.2297,0.10
tier 5,4,STORJ/USD,2024-10-19T11:45:00+00:00,stop,-69.62,-2.1886,0.23
tier 5,5,STORJ/USD,2024-10-20T05:22:00+00:00,stop,-62.19,-1.9827,0.80
