run,pair,closed_utc,outcome,barrier_pct_gross,realised_pct_gross,difference_pp,net_pct_after_fees
tier 3,STORJ/USD,2024-10-20T05:22:00+00:00,stop,-1.5000,-1.5381,-0.0381,-2.1322
tier 3,STORJ/USD,2024-10-20T06:42:00+00:00,target,3.0000,2.0078,-0.9922,1.4001
tier 3,DOGE/USD,2024-10-20T17:10:00+00:00,target,3.0000,3.1323,0.1323,2.5204
tier 3,NEAR/USD,2024-10-26T02:47:00+00:00,target,3.0000,3.0141,0.0141,2.4027
tier 3,DOGE/USD,2024-11-14T22:35:00+00:00,stop,-1.5000,-1.5963,-0.0963,-2.1902
tier 3,DOGE/USD,2024-11-14T23:00:00+00:00,stop,-1.5000,-1.6632,-0.1632,-2.2569
tier 3,CRV/USD,2024-11-15T06:19:00+00:00,target,3.0000,3.2180,0.2180,2.6058
tier 3,OXT/USD,2024-11-25T22:39:00+00:00,stop,-1.5000,-1.7751,-0.2751,-2.3684
tier 3,APT/USD,2024-12-02T03:57:00+00:00,stop,-1.5000,-1.6550,-0.1550,-2.2487
tier 3,LUNA/USD,2024-12-09T21:04:00+00:00,stop,-1.5000,-5.5437,-4.0437,-6.1226
tier 3,XTZ/USD,2024-12-19T01:59:00+00:00,stop,-1.5000,-1.8004,-0.3004,-2.3935
tier 3,SC/USD,2024-12-19T20:11:00+00:00,stop,-1.5000,-1.5421,-0.0421,-2.1362
tier 5,STORJ/USD,2024-10-19T08:36:00+00:00,stop,-1.5000,-2.0261,-0.5261,-2.4700
tier 5,STORJ/USD,2024-10-19T10:08:00+00:00,stop,-1.5000,-1.6431,-0.1431,-2.0881
tier 5,STORJ/USD,2024-10-19T10:24:00+00:00,stop,-1.5000,-1.7851,-0.2851,-2.2297
tier 5,STORJ/USD,2024-10-19T11:45:00+00:00,stop,-1.5000,-1.7438,-0.2438,-2.1886
tier 5,STORJ/USD,2024-10-20T05:22:00+00:00,stop,-1.5000,-1.5373,-0.0373,-1.9827
