run,stage,count
tier 3,bar ticks run (whole window),8736
tier 3,bar ticks with engine 7 running (not frozen),7280
tier 3,ticks with a candidate,7170
tier 3,candidates refused (cost gate),7152
tier 3,approvals,18
tier 3,entry orders placed,18
tier 3,entries filled,12
tier 3,trades closed,12
tier 5,bar ticks run (whole window),8736
tier 5,bar ticks with engine 7 running (not frozen),1461
tier 5,ticks with a candidate,1452
tier 5,candidates refused (cost gate),1445
tier 5,approvals,7
tier 5,entry orders placed,7
tier 5,entries filled,5
tier 5,trades closed,5
