run,pair,opened_utc,closed_utc,outcome,hold_hours
tier 3,STORJ/USD,2024-10-20T04:34:00+00:00,2024-10-20T05:22:00+00:00,stop,0.80
tier 3,STORJ/USD,2024-10-20T05:49:00+00:00,2024-10-20T06:42:00+00:00,target,0.88
tier 3,DOGE/USD,2024-10-20T13:20:00+00:00,2024-10-20T17:10:00+00:00,target,3.83
tier 3,NEAR/USD,2024-10-25T23:46:00+00:00,2024-10-26T02:47:00+00:00,target,3.02
tier 3,DOGE/USD,2024-11-14T22:31:00+00:00,2024-11-14T22:35:00+00:00,stop,0.07
tier 3,DOGE/USD,2024-11-14T22:46:00+00:00,2024-11-14T23:00:00+00:00,stop,0.23
tier 3,CRV/USD,2024-11-15T05:17:00+00:00,2024-11-15T06:19:00+00:00,target,1.03
tier 3,OXT/USD,2024-11-25T22:33:00+00:00,2024-11-25T22:39:00+00:00,stop,0.10
tier 3,APT/USD,2024-12-02T03:47:00+00:00,2024-12-02T03:57:00+00:00,stop,0.17
tier 3,LUNA/USD,2024-12-09T21:03:00+00:00,2024-12-09T21:04:00+00:00,stop,0.02
tier 3,XTZ/USD,2024-12-18T21:01:00+00:00,2024-12-19T01:59:00+00:00,stop,4.97
tier 3,SC/USD,2024-12-19T20:04:00+00:00,2024-12-19T20:11:00+00:00,stop,0.12
tier 3,TOTAL,2024-10-05T00:15:00+00:00,2024-12-22T04:45:00+00:00,exposed_hours,15.23
tier 5,STORJ/USD,2024-10-19T08:31:00+00:00,2024-10-19T08:36:00+00:00,stop,0.08
tier 5,STORJ/USD,2024-10-19T09:03:00+00:00,2024-10-19T10:08:00+00:00,stop,1.08
tier 5,STORJ/USD,2024-10-19T10:18:00+00:00,2024-10-19T10:24:00+00:00,stop,0.10
tier 5,STORJ/USD,2024-10-19T11:31:00+00:00,2024-10-19T11:45:00+00:00,stop,0.23
tier 5,STORJ/USD,2024-10-20T04:34:00+00:00,2024-10-20T05:22:00+00:00,stop,0.80
tier 5,TOTAL,2024-10-05T00:15:00+00:00,2025-01-03T23:45:00+00:00,exposed_hours,2.30
